Category: All categories

Region,hunt: (4/20/26 - 7/20/26),new world: (4/20/26 - 7/20/26),ark: (4/20/26 - 7/20/26),smash: (4/20/26 - 7/20/26),rust: (4/20/26 - 7/20/26)
Montana,35%,4%,24%,16%,21%
Alaska,30%,5%,19%,23%,23%
North Dakota,31%,6%,19%,19%,25%
Vermont,31%,7%,16%,16%,30%
West Virginia,27%,5%,22%,17%,29%
Idaho,30%,7%,22%,21%,20%
Maine,29%,7%,21%,20%,23%
South Dakota,29%,8%,20%,18%,25%
Mississippi,32%,8%,20%,21%,19%
Wyoming,30%,7%,25%,18%,20%
Arkansas,26%,7%,27%,19%,21%
Kentucky,26%,7%,22%,19%,26%
Nebraska,29%,7%,19%,21%,24%
Utah,27%,7%,22%,24%,20%
Tennessee,31%,7%,21%,20%,21%
New Mexico,30%,10%,21%,21%,18%
Missouri,27%,8%,22%,21%,22%
North Carolina,29%,8%,20%,23%,20%
Oklahoma,26%,7%,24%,20%,23%
Alabama,29%,8%,20%,22%,21%
Ohio,27%,7%,18%,24%,24%
New Hampshire,25%,8%,19%,22%,26%
Michigan,27%,8%,17%,26%,22%
South Carolina,28%,9%,20%,23%,20%
Pennsylvania,27%,9%,19%,25%,20%
Indiana,26%,8%,20%,23%,23%
Wisconsin,25%,7%,21%,23%,24%
Louisiana,27%,9%,21%,24%,19%
Minnesota,27%,9%,20%,23%,21%
Kansas,24%,7%,21%,21%,27%
Hawaii,25%,10%,20%,24%,21%
Iowa,27%,27%,14%,14%,18%
Rhode Island,24%,8%,17%,30%,21%
Georgia,29%,9%,18%,26%,18%
Connecticut,26%,11%,16%,29%,18%
Delaware,27%,10%,16%,26%,21%
Nevada,25%,11%,19%,27%,18%
Arizona,25%,9%,20%,25%,21%
Florida,25%,9%,19%,27%,20%
Illinois,26%,8%,17%,29%,20%
Maryland,25%,11%,16%,30%,18%
Massachusetts,25%,12%,17%,27%,19%
Washington,25%,9%,19%,26%,21%
Texas,25%,9%,20%,27%,19%
New Jersey,27%,12%,13%,30%,18%
California,25%,11%,16%,29%,19%
New York,24%,12%,16%,27%,21%
District of Columbia,19%,9%,11%,22%,39%
Colorado,26%,9%,21%,22%,22%
Virginia,28%,11%,16%,25%,20%
Oregon,24%,8%,23%,22%,23%
