Category: All categories

Region,rust: (4/20/26 - 7/20/26)
West Virginia,100
Vermont,97
Alaska,87
North Dakota,80
District of Columbia,78
South Dakota,74
Montana,73
Kentucky,72
Maine,69
Kansas,69
New Hampshire,68
Arkansas,62
Nebraska,61
Idaho,60
Oklahoma,59
Ohio,59
Wisconsin,58
Missouri,57
Indiana,56
Utah,53
Michigan,52
Wyoming,52
Rhode Island,51
Hawaii,50
Pennsylvania,49
Minnesota,48
Tennessee,48
Alabama,48
Mississippi,47
North Carolina,47
South Carolina,46
Arizona,45
Louisiana,44
New Mexico,44
Delaware,44
Nevada,40
Florida,40
Connecticut,39
Iowa,38
Washington,38
Illinois,38
Massachusetts,36
Georgia,35
Maryland,34
New York,34
Texas,33
California,32
Colorado,30
New Jersey,28
Virginia,23
Oregon,10
