Category: All categories

Region,smash: (4/20/26 - 7/20/26)
Alaska,100
Rhode Island,85
Utah,76
North Dakota,75
Michigan,73
Idaho,72
Connecticut,71
New Hampshire,70
Maine,70
Pennsylvania,69
West Virginia,68
Maryland,68
Nevada,67
Ohio,67
Indiana,67
Hawaii,67
Montana,66
Arkansas,65
Wisconsin,65
Delaware,64
South Dakota,64
Illinois,63
Nebraska,63
Florida,63
Arizona,63
Kentucky,63
Missouri,63
Oklahoma,63
Louisiana,63
South Carolina,62
North Carolina,62
Kansas,61
Minnesota,61
Vermont,61
Mississippi,61
New Mexico,60
Georgia,59
Alabama,59
Massachusetts,58
California,57
Tennessee,55
Washington,55
Wyoming,54
New Jersey,54
Texas,53
New York,53
District of Columbia,52
Iowa,36
Colorado,35
Virginia,34
Oregon,12
