Category: All categories

Region,ark: (4/20/26 - 7/20/26)
Montana,100
Arkansas,94
West Virginia,94
Alaska,85
Idaho,79
Wyoming,79
Maine,78
Oklahoma,77
Kentucky,76
North Dakota,75
South Dakota,73
Utah,72
Kansas,67
Missouri,66
New Hampshire,63
Wisconsin,63
Vermont,62
Nebraska,61
Mississippi,60
New Mexico,60
Indiana,60
Tennessee,58
South Carolina,58
North Carolina,57
Louisiana,57
Hawaii,57
Minnesota,56
Pennsylvania,55
Alabama,55
Ohio,55
Arizona,54
Michigan,52
Nevada,51
Rhode Island,49
Florida,47
Georgia,44
Texas,41
Connecticut,41
Washington,40
Illinois,40
Delaware,39
Massachusetts,38
Maryland,38
Iowa,37
Colorado,36
California,33
New York,32
District of Columbia,28
New Jersey,25
Virginia,22
Oregon,13
