Category: All categories

Region,new world: (4/20/26 - 7/20/26)
Iowa,100
South Dakota,45
Nevada,44
Vermont,42
New Mexico,42
Hawaii,41
Connecticut,40
Massachusetts,39
Maryland,39
New Hampshire,39
Maine,38
North Dakota,38
Idaho,37
Pennsylvania,37
South Carolina,37
Louisiana,37
Rhode Island,37
Arizona,36
Delaware,36
Alaska,36
Arkansas,36
Missouri,36
Kentucky,35
Minnesota,35
New York,35
Utah,35
Michigan,34
Kansas,34
West Virginia,34
Oklahoma,34
Florida,34
Indiana,34
Wyoming,33
California,33
Mississippi,33
North Carolina,33
District of Columbia,32
Alabama,32
Ohio,32
New Jersey,32
Nebraska,32
Wisconsin,31
Tennessee,31
Georgia,31
Washington,29
Texas,27
Illinois,27
Montana,25
Virginia,22
Colorado,21
Oregon,6
