Category: All categories

Region,hunt: (4/20/26 - 7/20/26)
Montana,100
Alaska,96
North Dakota,85
Vermont,84
West Virginia,78
Idaho,76
Maine,74
South Dakota,71
Mississippi,65
Wyoming,64
Arkansas,63
Kentucky,63
Nebraska,62
Utah,61
Tennessee,61
New Mexico,61
Missouri,58
North Carolina,57
Oklahoma,57
Alabama,57
Ohio,56
New Hampshire,56
Michigan,55
South Carolina,55
Pennsylvania,54
Indiana,54
Wisconsin,52
Louisiana,52
Minnesota,52
Kansas,51
Hawaii,50
Iowa,50
Rhode Island,49
Georgia,48
Connecticut,48
Delaware,47
Nevada,46
Arizona,46
Florida,43
Illinois,41
Maryland,41
Massachusetts,40
Washington,38
Texas,36
New Jersey,35
California,34
New York,34
District of Columbia,33
Colorado,30
Virginia,28
Oregon,9
