Category: All categories
"new world: (4/20/26 - 7/20/26, United States)"

TOP
the new world,100
whole new world,66
world cup,55
a whole new world,54
new song,39
brave new world,26
world cup 2026,23
new world cup song,23
world cup song,23
new york,20
new world order,14
avatar world,13
captain brave new world,12
aladdin,12
aladdin whole new world,12
new zealand,11
a whole new world aladdin,11
new zealand world cup,11
disney world,9
super mario world,9
new world cup song 2026,9
world cup song 2026,9
whole new world karaoke,9
fifa world cup,8
karaoke a whole new world,8

RISING
iran vs new zealand,Breakout
new zealand vs egypt,Breakout
new zealand vs belgium,Breakout
fifa world cup 2026 live,Breakout
new world screwworm pet safety,Breakout
world cup everybody jump,Breakout
new york knicks fans,Breakout
shakira world cup song,"+3,700%"
shakira new song,"+3,300%"
fifa world cup 2026 highlights,"+3,100%"
ishowspeed world cup,"+2,750%"
ishowspeed world cup song,"+2,750%"
shakira world cup song 2026,"+2,000%"
speed world cup song,"+1,600%"
fifa world cup 2026,"+1,600%"
korn sick new world,"+1,550%"
sick new world 2026,"+1,400%"
haiti vs new zealand,"+1,050%"
new york knicks,"+1,000%"
fifa world cup,+950%
world cup 2026 live,+850%
world cup,+350%
world cup 2026,+300%
new world cup song,+250%
world cup song,+250%

